254,108,63,255,93,54,136,136,116,136,136,116,213,21,32,PM BL Merah,0
,,,,,,,,,,,,,,,,
27,248,67,21,255,58,134,133,110,134,133,110,47,147,60,PM BL Hijau,0
,,,,,,,,,,,,,,,,
0,163,254,0,149,255,135,134,111,135,134,111,6,58,198,PM BL Biru,0
,,,,,,,,,,,,,,,,
183,172,171,170,169,165,129,129,105,129,129,105,53,76,132,PM BL Putih,0
,,,,,,,,,,,,,,,,
254,116,27,255,123,32,121,105,79,121,105,79,229,15,26,PM BL Merah,5
,,,,,,,,,,,,,,,,
252,140,0,255,139,0,118,104,78,118,104,78,72,120,56,PM BL Hijau,5
,,,,,,,,,,,,,,,,
190,82,254,191,90,255,119,103,80,119,103,80,225,15,25,PM BL Biru,5
,,,,,,,,,,,,,,,,
254,99,114,255,106,118,118,103,76,118,103,76,63,59,137,PM BL Putih,5
,,,,,,,,,,,,,,,,
254,84,21,255,81,20,115,90,64,115,90,64,230,15,25,PM BL Merah,10
,,,,,,,,,,,,,,,,
254,92,0,255,86,0,113,89,63,113,89,63,113,99,42,PM BL Hijau,10
,,,,,,,,,,,,,,,,
253,28,250,255,23,255,114,89,63,114,89,63,39,45,177,PM BL Biru,10
,,,,,,,,,,,,,,,,
254,54,20,255,57,20,148,115,94,148,115,94,88,45,128,PM BL Putih,10
,,,,,,,,,,,,,,,,
254,90,14,255,76,12,146,114,88,146,114,88,229,15,26,PM BL Merah,25
,,,,,,,,,,,,,,,,
254,92,0,255,82,0,146,114,90,146,114,90,105,105,45,PM BL Hijau,25
,,,,,,,,,,,,,,,,
250,22,246,255,23,255,146,113,88,146,113,88,35,45,178,PM BL Biru,25
,,,,,,,,,,,,,,,,
254,50,38,255,50,33,144,112,88,144,112,88,84,47,129,PM BL Putih,25
,,,,,,,,,,,,,,,,
254,129,32,255,126,38,143,101,69,143,101,69,240,15,25,PM BL Merah,50
,,,,,,,,,,,,,,,,
254,78,0,255,85,0,141,101,70,141,101,70,240,15,25,PM BL Hijau,50
,,,,,,,,,,,,,,,,
254,133,32,255,154,38,135,88,55,135,88,55,235,15,25,PM BL Merah,100
,,,,,,,,,,,,,,,,
254,93,5,255,106,0,133,87,53,133,87,53,137,59,39,PM BL Hijau,100
,,,,,,,,,,,,,,,,
254,47,0,255,52,0,132,87,50,132,87,50,235,15,26,PM BL Biru,100
,,,,,,,,,,,,,,,,
254,70,3,255,77,0,131,85,55,131,85,55,170,32,64,PM BL Putih,100
254,85,10,255,81,10,114,79,52,114,79,52,36,43,175,PM BL Biru,50
,,,,,,,,,,,,,,,,
254,67,0,255,68,0,114,79,52,114,79,52,136,38,89,PM BL Putih,50
,,,,,,,,,,,,,,,,
254,240,91,255,255,99,153,148,121,153,148,121,226,14,24,PH BL Merah,0
,,,,,,,,,,,,,,,,
111,254,184,115,255,187,148,144,117,148,144,117,44,152,58,PH BL Hijau,0
,,,,,,,,,,,,,,,,
125,193,253,120,221,255,151,146,118,151,146,118,53,74,132,PH BL Biru,0
,,,,,,,,,,,,,,,,
248,226,234,255,233,255,143,141,114,143,141,114,54,74,133,PH BL Putih,0
